"Token","Role","Value"
"md.sys.motion.duration.short1","Duration","50ms"
"md.sys.motion.duration.short2",,"100ms"
"md.sys.motion.duration.short3",,"150ms"
"md.sys.motion.duration.short4",,"200ms"
"md.sys.motion.duration.medium1",,"250ms"
"md.sys.motion.duration.medium2",,"300ms"
"md.sys.motion.duration.medium3",,"350ms"
"md.sys.motion.duration.medium4",,"400ms"
"md.sys.motion.duration.long1",,"450ms"
"md.sys.motion.duration.long2",,"500ms"
"md.sys.motion.duration.long3",,"550ms"
"md.sys.motion.duration.long4",,"600ms"
"md.sys.motion.duration.extra-long1",,"700ms"
"md.sys.motion.duration.extra-long2",,"800ms"
"md.sys.motion.duration.extra-long3",,"900ms"
"md.sys.motion.duration.extra-long4",,"1000ms"
"md.sys.motion.easing.linear","Easing","0,0,1,1"
"md.sys.motion.easing.standard",,"0.2,0,0,1"
"md.sys.motion.easing.standard.accelerate",,"0.3,0,1,1"
"md.sys.motion.easing.standard.decelerate",,"0,0,0,1"
"md.sys.motion.easing.emphasized",,"0.2,0,0,1"
"md.sys.motion.easing.emphasized.decelerate",,"0.05,0.7,0.1,1"
"md.sys.motion.easing.emphasized.accelerate",,"0.3,0,0.8,0.15"
"md.sys.motion.easing.legacy",,"0.4,0,0.2,1"
"md.sys.motion.easing.legacy.decelerate",,"0.0,0,0.2,1"
"md.sys.motion.easing.legacy.accelerate",,"0.4,0,1.0,1"
"md.sys.motion.path","Path","Linear"
