"Token","Role","Value"
"md.ref.palette.primary0","Primary","#000000"
"md.ref.palette.primary4","Primary","#13003a"
"md.ref.palette.primary6","Primary","#190047"
"md.ref.palette.primary10","Primary","#22005c"
"md.ref.palette.primary12","Primary","#270562"
"md.ref.palette.primary17","Primary","#31156c"
"md.ref.palette.primary20","Primary","#381e73"
"md.ref.palette.primary22","Primary","#3c2378"
"md.ref.palette.primary24","Primary","#41287c"
"md.ref.palette.primary30","Primary","#4f378b"
"md.ref.palette.primary40","Primary","#674fa5"
"md.ref.palette.primary50","Primary","#8168c0"
"md.ref.palette.primary60","Primary","#9b82dc"
"md.ref.palette.primary80","Primary","#cfbcff"
"md.ref.palette.primary87","Primary","#e1d3ff"
"md.ref.palette.primary90","Primary","#e9ddff"
"md.ref.palette.primary92","Primary","#eee4ff"
"md.ref.palette.primary95","Primary","#f6eeff"
"md.ref.palette.primary96","Primary","#f8f1ff"
"md.ref.palette.primary98","Primary","#fdf7ff"
"md.ref.palette.primary100","Primary","#ffffff"
"md.ref.palette.secondary0","Secondary","#000000"
"md.ref.palette.secondary4","Secondary","#100b1d"
"md.ref.palette.secondary6","Secondary","#151022"
"md.ref.palette.secondary10","Secondary","#1e192b"
"md.ref.palette.secondary12","Secondary","#221d2f"
"md.ref.palette.secondary17","Secondary","#2c273a"
"md.ref.palette.secondary20","Secondary","#332d41"
"md.ref.palette.secondary22","Secondary","#373245"
"md.ref.palette.secondary24","Secondary","#3c364a"
"md.ref.palette.secondary30","Secondary","#4a4458"
"md.ref.palette.secondary40","Secondary","#625b71"
"md.ref.palette.secondary50","Secondary","#7b748a"
"md.ref.palette.secondary60","Secondary","#958da4"
"md.ref.palette.secondary80","Secondary","#ccc2db"
"md.ref.palette.secondary87","Secondary","#dfd6ef"
"md.ref.palette.secondary90","Secondary","#e8def8"
"md.ref.palette.secondary92","Secondary","#eee4fe"
"md.ref.palette.secondary95","Secondary","#f6eeff"
"md.ref.palette.secondary96","Secondary","#f8f1ff"
"md.ref.palette.secondary98","Secondary","#fdf7ff"
"md.ref.palette.secondary100","Secondary","#ffffff"
"md.ref.palette.tertiary0","Tertiary","#000000"
"md.ref.palette.tertiary4","Tertiary","#21040f"
"md.ref.palette.tertiary6","Tertiary","#270815"
"md.ref.palette.tertiary10","Tertiary","#31101d"
"md.ref.palette.tertiary12","Tertiary","#361421"
"md.ref.palette.tertiary17","Tertiary","#421f2b"
"md.ref.palette.tertiary20","Tertiary","#4a2532"
"md.ref.palette.tertiary22","Tertiary","#4f2936"
"md.ref.palette.tertiary24","Tertiary","#542e3b"
"md.ref.palette.tertiary30","Tertiary","#633b48"
"md.ref.palette.tertiary40","Tertiary","#7e5260"
"md.ref.palette.tertiary50","Tertiary","#996a78"
"md.ref.palette.tertiary60","Tertiary","#b58392"
"md.ref.palette.tertiary80","Tertiary","#efb8c8"
"md.ref.palette.tertiary87","Tertiary","#ffcddb"
"md.ref.palette.tertiary90","Tertiary","#ffd9e3"
"md.ref.palette.tertiary92","Tertiary","#ffe1e8"
"md.ref.palette.tertiary95","Tertiary","#ffecf0"
"md.ref.palette.tertiary96","Tertiary","#fff0f2"
"md.ref.palette.tertiary98","Tertiary","#fff8f8"
"md.ref.palette.tertiary100","Tertiary","#ffffff"
"md.ref.palette.neutral0","Neutral","#000000"
"md.ref.palette.neutral4","Neutral","#0f0e11"
"md.ref.palette.neutral6","Neutral","#141316"
