"Token","Role","Value"
"md.sys.shape.corner.none","No rounding","0dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.extra-small","Extra small","4dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.extra-small.top","Extra small top","4dp,4dp,0dp,0dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.small","Small","8dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.medium","Medium","12dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.large","Large","16dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.large.end","Large end","0dp,16dp,16dp,0dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.large.top","Large top","16dp,16dp,0dp,0dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.extra-large","Extra large","28dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.extra-large.top","Extra large top","28dp,28dp,0dp,0dp SHAPE_FAMILY_ROUNDED_CORNERS"
"md.sys.shape.corner.full","Full","- SHAPE_FAMILY_CIRCULAR"
