"Token","Role","Value (light)","Value (dark)"
"md.sys.color.primary","Primary","md.ref.palette.primary40","md.ref.palette.primary80"
"md.sys.color.primary-container","Primary container","md.ref.palette.primary90","md.ref.palette.primary30"
"md.sys.color.on-primary","On primary","md.ref.palette.primary100","md.ref.palette.primary20"
"md.sys.color.on-primary-container","On primary container","md.ref.palette.primary10","md.ref.palette.primary90"
"md.sys.color.inverse-primary","Inverse primary","md.ref.palette.primary80","md.ref.palette.primary40"
"md.sys.color.secondary","Secondary","md.ref.palette.secondary40","md.ref.palette.secondary80"
"md.sys.color.secondary-container","Secondary container","md.ref.palette.secondary90","md.ref.palette.secondary30"
"md.sys.color.on-secondary","On secondary","md.ref.palette.secondary100","md.ref.palette.secondary20"
"md.sys.color.on-secondary-container","On secondary container","md.ref.palette.secondary10","md.ref.palette.secondary90"
"md.sys.color.tertiary","Tertiary","md.ref.palette.tertiary40","md.ref.palette.tertiary80"
"md.sys.color.tertiary-container","Tertiary container","md.ref.palette.tertiary90","md.ref.palette.tertiary30"
"md.sys.color.on-tertiary","On tertiary","md.ref.palette.tertiary100","md.ref.palette.tertiary20"
"md.sys.color.on-tertiary-container","On tertiary container","md.ref.palette.tertiary10","md.ref.palette.tertiary90"
"md.sys.color.surface","Surface","md.ref.palette.neutral98","md.ref.palette.neutral6"
"md.sys.color.surface-dim","Surface dim","md.ref.palette.neutral87","md.ref.palette.neutral6"
"md.sys.color.surface-bright","Surface bright","md.ref.palette.neutral98","md.ref.palette.neutral24"
"md.sys.color.surface-container-lowest","Surface container lowest","md.ref.palette.neutral100","md.ref.palette.neutral4"
"md.sys.color.surface-container-low","Surface container low","md.ref.palette.neutral96","md.ref.palette.neutral10"
"md.sys.color.surface-container","Surface container","md.ref.palette.neutral94","md.ref.palette.neutral12"
"md.sys.color.surface-container-high","Surface container high","md.ref.palette.neutral92","md.ref.palette.neutral17"
"md.sys.color.surface-container-highest","Surface container highest","md.ref.palette.neutral90","md.ref.palette.neutral22"
"md.sys.color.surface-variant","Surface variant","md.ref.palette.neutral-variant90","md.ref.palette.neutral-variant30"
"md.sys.color.on-surface","On surface","md.ref.palette.neutral10","md.ref.palette.neutral90"
"md.sys.color.on-surface-variant","On surface variant","md.ref.palette.neutral-variant30","md.ref.palette.neutral-variant80"
"md.sys.color.inverse-surface","Inverse surface","md.ref.palette.neutral20","md.ref.palette.neutral90"
"md.sys.color.on-inverse-surface","Inverse on surface","md.ref.palette.neutral95","md.ref.palette.neutral20"
"md.sys.color.background","Background","md.ref.palette.neutral98","md.ref.palette.neutral6"
"md.sys.color.on-background","On background","md.ref.palette.neutral10","md.ref.palette.neutral90"
"md.sys.color.error","Error","md.ref.palette.error40","md.ref.palette.error80"
"md.sys.color.error-container","Error container","md.ref.palette.error90","md.ref.palette.error30"
"md.sys.color.on-error","On error","md.ref.palette.error100","md.ref.palette.error20"
"md.sys.color.on-error-container","On error container","md.ref.palette.error10","md.ref.palette.error90"
"md.sys.color.outline","Outline","md.ref.palette.neutral-variant50","md.ref.palette.neutral-variant60"
"md.sys.color.outline-variant","Outline variant","md.ref.palette.neutral-variant80","md.ref.palette.neutral-variant30"
"md.sys.color.shadow","Shadow","md.ref.palette.neutral0","md.ref.palette.neutral0"
"md.sys.color.surface-tint-color","Surface tint","md.sys.color.primary","md.sys.color.primary"
"md.sys.color.scrim","Scrim","md.ref.palette.neutral0","md.ref.palette.neutral0"
