"Token","Role","Value"
"md.sys.typescale.display-large.font","Display large","md.ref.typeface.brand"
"md.sys.typescale.display-large.line-height",,"64sp"
"md.sys.typescale.display-large.size",,"57sp"
"md.sys.typescale.display-large.tracking",,"-0.25px"
"md.sys.typescale.display-large.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.display-medium.font","Display medium","md.ref.typeface.brand"
"md.sys.typescale.display-medium.line-height",,"52sp"
"md.sys.typescale.display-medium.size",,"45sp"
"md.sys.typescale.display-medium.tracking",,"0px"
"md.sys.typescale.display-medium.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.display-small.font","Display small","md.ref.typeface.brand"
"md.sys.typescale.display-small.line-height",,"44sp"
"md.sys.typescale.display-small.size",,"36sp"
"md.sys.typescale.display-small.tracking",,"0px"
"md.sys.typescale.display-small.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.headline-large.font","Headline large","md.ref.typeface.brand"
"md.sys.typescale.headline-large.line-height",,"40sp"
"md.sys.typescale.headline-large.size",,"32sp"
"md.sys.typescale.headline-large.tracking",,"0px"
"md.sys.typescale.headline-large.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.headline-medium.font","Headline medium","md.ref.typeface.brand"
"md.sys.typescale.headline-medium.line-height",,"36sp"
"md.sys.typescale.headline-medium.size",,"28sp"
"md.sys.typescale.headline-medium.tracking",,"0px"
"md.sys.typescale.headline-medium.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.headline-small.font","Headline small","md.ref.typeface.brand"
"md.sys.typescale.headline-small.line-height",,"32sp"
"md.sys.typescale.headline-small.size",,"24sp"
"md.sys.typescale.headline-small.tracking",,"0px"
"md.sys.typescale.headline-small.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.title-large.font","Title large","md.ref.typeface.brand"
"md.sys.typescale.title-large.line-height",,"28sp"
"md.sys.typescale.title-large.size",,"22sp"
"md.sys.typescale.title-large.tracking",,"0px"
"md.sys.typescale.title-large.weight",,"md.ref.typeface.weight"
"md.sys.typescale.title-medium.font","Title medium","md.ref.typeface.plain"
"md.sys.typescale.title-medium.line-height",,"24sp"
"md.sys.typescale.title-medium.size",,"16sp"
"md.sys.typescale.title-medium.tracking",,"0.15px"
"md.sys.typescale.title-medium.weight",,"md.ref.typeface.weight-medium"
"md.sys.typescale.title-small.font","Title small","md.ref.typeface.plain"
"md.sys.typescale.title-small.line-height",,"20sp"
"md.sys.typescale.title-small.size",,"14sp"
"md.sys.typescale.title-small.tracking",,"0.1px"
"md.sys.typescale.title-small.weight",,"md.ref.typeface.weight-medium"
"md.sys.typescale.label-large.font","Label large","md.ref.typeface.plain"
"md.sys.typescale.label-large.line-height",,"20sp"
"md.sys.typescale.label-large.size",,"14sp"
"md.sys.typescale.label-large.tracking",,"0.1px"
"md.sys.typescale.label-large.weight",,"md.ref.typeface.weight-medium"
"md.sys.typescale.label-medium.font","Label medium","md.ref.typeface.plain"
"md.sys.typescale.label-medium.line-height",,"16sp"
"md.sys.typescale.label-medium.size",,"12sp"
"md.sys.typescale.label-medium.tracking",,"0.5px"
"md.sys.typescale.label-medium.weight",,"md.ref.typeface.weight-medium"
"md.sys.typescale.label-small.font","Label small","md.ref.typeface.plain"
"md.sys.typescale.label-small.line-height",,"16sp"
"md.sys.typescale.label-small.size",,"11sp"
"md.sys.typescale.label-small.tracking",,"0.5px"
"md.sys.typescale.label-small.weight",,"md.ref.typeface.weight-medium"
"md.sys.typescale.body-large.font","Body large","md.ref.typeface.plain"
"md.sys.typescale.body-large.line-height",,"24sp"
"md.sys.typescale.body-large.size",,"16sp"
"md.sys.typescale.body-large.tracking",,"0.5px"
"md.sys.typescale.body-large.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.body-medium.font","Body medium","md.ref.typeface.plain"
"md.sys.typescale.body-medium.line-height",,"20sp"
"md.sys.typescale.body-medium.size",,"14sp"
"md.sys.typescale.body-medium.tracking",,"0.25px"
"md.sys.typescale.body-medium.weight",,"md.ref.typeface.weight-regular"
"md.sys.typescale.body-small.font","Body small","md.ref.typeface.plain"
"md.sys.typescale.body-small.line-height",,"16sp"
"md.sys.typescale.body-small.size",,"12sp"
"md.sys.typescale.body-small.tracking",,"0.4px"
"md.sys.typescale.body-small.weight",,"md.ref.typeface.weight-regular"
"md.ref.typeface.brand","Brand","Roboto"
"md.ref.typeface.weight-regular","Weight regular","400"
"md.ref.typeface.weight","Weight","400"
"md.ref.typeface.plain","Plain","Roboto"
"md.ref.typeface.weight-medium","Weight medium","500"
