"Token","State","Element","Design attribute","Role","Value"
"md.comp.button.elevated.enabled.container.color","1. Enabled","Container","Color","Surface container low","md.sys.color.surface-container-low"
"md.comp.button.elevated.enabled.container.shadow-color",,,"Shadow color","Shadow","md.sys.color.shadow"
"md.comp.button.elevated.enabled.container.elevation",,,"Elevation","Level 1","md.sys.elevation.level1"
"md.comp.button.elevated.enabled.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.enabled.label-text.font",,,"Font","Label large","md.sys.typescale.label-large.font"
"md.comp.button.elevated.enabled.label-text.line-height",,,"Line height","Label large","md.sys.typescale.label-large.line-height"
"md.comp.button.elevated.enabled.label-text.size",,,"Size","Label large","md.sys.typescale.label-large.size"
"md.comp.button.elevated.enabled.label-text.tracking",,,"Tracking","Label large","md.sys.typescale.label-large.tracking"
"md.comp.button.elevated.enabled.label-text.weight",,,"Weight","Label large","md.sys.typescale.label-large.weight"
"md.comp.button.elevated.enabled.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.disabled.container.color","2. Disabled","Container","Color","Primary","md.sys.color.on-surface"
"md.comp.button.elevated.disabled.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.elevated.disabled.container.opacity",,,"Opacity","-","12%"
"md.comp.button.elevated.disabled.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.button.elevated.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.button.elevated.disabled.icon.color",,"Icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.button.elevated.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.button.elevated.hovered.container.state-layer-color","3. Hovered","Container","State layer color","Primary","md.sys.color.primary"
"md.comp.button.elevated.hovered.container.state-layer-opacity",,,"State layer opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.button.elevated.hovered.container.elevation",,,"Elevation","Level 2","md.sys.elevation.level2"
"md.comp.button.elevated.hovered.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.hovered.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.focused.container.state-layer-color","4. Focused","Container","State layer color","Primary","md.sys.color.primary"
"md.comp.button.elevated.focused.container.state-layer-opacity",,,"State layer opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.button.elevated.focused.container.elevation",,,"Elevation","Level 1","md.sys.elevation.level1"
"md.comp.button.elevated.focused.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.focused.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.pressed.container.state-layer-color","5. Pressed","Container","State layer color","Primary","md.sys.color.primary"
"md.comp.button.elevated.pressed.container.state-layer-opacity",,,"State layer opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.button.elevated.pressed.container.elevation",,,"Elevation","Level 1","md.sys.elevation.level1"
"md.comp.button.elevated.pressed.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.elevated.pressed.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
