"Token","State","Element","Design attribute","Role","Value"
"md.comp.button.filled.enabled.container.color","1. Enabled","Container","Color","Primary","md.sys.color.primary"
"md.comp.button.filled.enabled.container.shadow-color",,,"Shadow color","Shadow","md.sys.color.shadow"
"md.comp.button.filled.enabled.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.filled.enabled.label-text.color",,"Label text","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.enabled.label-text.font",,,"Font","Label large","md.sys.typescale.label-large.font"
"md.comp.button.filled.enabled.label-text.line-height",,,"Line height","Label large","md.sys.typescale.label-large.line-height"
"md.comp.button.filled.enabled.label-text.size",,,"Size","Label large","md.sys.typescale.label-large.size"
"md.comp.button.filled.enabled.label-text.tracking",,,"Tracking","Label large","md.sys.typescale.label-large.tracking"
"md.comp.button.filled.enabled.label-text.weight",,,"Weight","Label large","md.sys.typescale.label-large.weight"
"md.comp.button.filled.enabled.icon.color",,"Icon (optional)","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.disabled.container.color","2. Disabled","Container","Color","On surface","md.sys.color.on-surface"
"md.comp.button.filled.disabled.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.filled.disabled.container.opacity",,,"Opacity","-","12%"
"md.comp.button.filled.disabled.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.button.filled.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.button.filled.disabled.icon.color",,"Icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.button.filled.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.button.filled.hovered.container.state-layer-color","3. Hovered","Container","State layer color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.hovered.container.state-layer-opacity",,,"State layer opacity","-","md.sys.state.hover.state-layer-opacity"
"md.comp.button.filled.hovered.container.elevation",,,"Elevation","Level 1","md.sys.elevation.level1"
"md.comp.button.filled.hovered.label-text.color",,"Label text","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.hovered.icon.color",,"Icon (optional)","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.focused.container.state-layer-color","4. Focused","Container","State layer color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.focused.container.state-layer-opacity",,,"State layer opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.button.filled.focused.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.filled.focused.label-text.color",,"Label text","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.focused.icon.color",,"Icon (optional)","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.pressed.container.state-layer-color","5. Pressed","Container","State layer color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.pressed.container.state-layer-opacity",,,"State layer opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.button.filled.pressed.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.filled.pressed.label-text.color",,"Label text","Color","On primary","md.sys.color.on-primary"
"md.comp.button.filled.pressed.icon.color",,"Icon (optional)","Color","On primary","md.sys.color.on-primary"
