"Token","State","Element","Design attribute","Role","Value"
"md.comp.button.outlined.enabled.container.outline-color","1. Enabled","Container","Outline color","Outline","md.sys.color.outline"
"md.comp.button.outlined.enabled.container.outline-width",,,"Outline width","-","1dp"
"md.comp.button.outlined.enabled.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.outlined.enabled.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.enabled.label-text.font",,,"Font","Label large","md.sys.typescale.label-large.font"
"md.comp.button.outlined.enabled.label-text.line-height",,,"Line height","Label large","md.sys.typescale.label-large.line-height"
"md.comp.button.outlined.enabled.label-text.size",,,"Size","Label large","md.sys.typescale.label-large.size"
"md.comp.button.outlined.enabled.label-text.tracking",,,"Tracking","Label large","md.sys.typescale.label-large.tracking"
"md.comp.button.outlined.enabled.label-text.weight",,,"Weight","Label large","md.sys.typescale.label-large.weight"
"md.comp.button.outlined.enabled.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.disabled.container.outline-color","2. Disabled","Container","Outline color","On surface","md.sys.color.on-surface"
"md.comp.button.outlined.disabled.container.outline-opacity",,,"Outline opacity","-","12%"
"md.comp.button.outlined.disabled.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.button.outlined.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.button.outlined.disabled.icon.color",,"Icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.button.outlined.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.button.outlined.hovered.container.outline-color","3. Hovered","Container","Outline color","Outline","md.sys.color.outline"
"md.comp.button.outlined.hovered.container.state-layer-color",,,"State layer color","Primary","md.sys.color.primary"
"md.comp.button.outlined.hovered.container.state-layer-opacity",,,"State layer opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.button.outlined.hovered.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.hovered.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.focused.container.outline-color","4. Focused","Container","Outline color","Primary","md.sys.color.primary"
"md.comp.button.outlined.focused.container.state-layer-color",,,"State layer color","Primary","md.sys.color.primary"
"md.comp.button.outlined.focused.container.state-layer-opacity",,,"State layer opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.button.outlined.focused.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.focused.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.pressed.container.outline-color","5. Pressed","Container","Outline color","Outline","md.sys.color.outline"
"md.comp.button.outlined.pressed.container.state-layer-color",,,"State layer color","Primary","md.sys.color.primary"
"md.comp.button.outlined.pressed.container.state-layer-opacity",,,"State layer opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.button.outlined.pressed.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.outlined.pressed.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
