"Token","State","Element","Design attribute","Role","Value"
"md.comp.button.text.enabled.container.elevation","1. Enabled","1. Container","Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.text.enabled.label-text.color",,"2. Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.text.enabled.label-text.font",,,"Font","Label large","md.sys.typescale.label-large.font"
"md.comp.button.text.enabled.label-text.line-height",,,"Line height","Label large","md.sys.typescale.label-large.line-height"
"md.comp.button.text.enabled.label-text.size",,,"Size","Label large","md.sys.typescale.label-large.size"
"md.comp.button.text.enabled.label-text.tracking",,,"Tracking","Label large","md.sys.typescale.label-large.tracking"
"md.comp.button.text.enabled.label-text.weight",,,"Weight","Label large","md.sys.typescale.label-large.weight"
"md.comp.button.text.enabled.icon.color",,"3. Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.text.disabled.label-text.color","2. Disabled","Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.button.text.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.button.text.disabled.icon.color",,"Icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.button.text.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.button.text.hovered.container.state-layer-color","3. Hovered","Container","State layer color","Primary","md.sys.color.primary"
"md.comp.button.text.hovered.container.state-layer-opacity",,,"State layer opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.button.text.hovered.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.text.hovered.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.text.focused.container.state-layer-color","4. Focused","Container","State layer color","Primary","md.sys.color.primary"
"md.comp.button.text.focused.container.state-layer-opacity",,,"State layer opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.button.text.focused.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.text.focused.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
"md.comp.button.text.pressed.container.state-layer-color","5. Pressed","Container","State layer color","Primary","md.sys.color.primary"
"md.comp.button.text.pressed.container.state-layer-opacity",,,"State layer opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.button.text.pressed.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.button.text.pressed.icon.color",,"Icon (optional)","Color","Primary","md.sys.color.primary"
