"Token","State","Element","Design attribute","Role","Value"
"md.comp.button.tonal.enabled.container.color","1. Enabled","Container","Color","Secondary container","md.sys.color.secondary-container"
"md.comp.button.tonal.enabled.container.shadow-color",,,"Shadow color","Shadow","md.sys.color.shadow"
"md.comp.button.tonal.enabled.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.tonal.enabled.label-text.color",,"Label text","Color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.enabled.label-text.font",,,"Font","Label large","md.sys.typescale.label-large.font"
"md.comp.button.tonal.enabled.label-text.line-height",,,"Line height","Label large","md.sys.typescale.label-large.line-height"
"md.comp.button.tonal.enabled.label-text.size",,,"Size","Label large","md.sys.typescale.label-large.size"
"md.comp.button.tonal.enabled.label-text.tracking",,,"Tracking","Label large","md.sys.typescale.label-large.tracking"
"md.comp.button.tonal.enabled.label-text.weight",,,"Weight","Label large","md.sys.typescale.label-large.weight"
"md.comp.button.tonal.enabled.icon.color",,"Icon (optional)","Color","On secondary","md.sys.color.on-secondary-container"
"md.comp.button.tonal.disabled.container.color","2. Disabled","Container","Color","On surface","md.sys.color.on-surface"
"md.comp.button.tonal.disabled.container.opacity",,,"Opacity","-","12%"
"md.comp.button.tonal.disabled.label-text.color",,"Label text","Color","On surface","md.sys.color.on-surface"
"md.comp.button.tonal.disabled.label-text.opacity",,,"Opacity","-","38%"
"md.comp.button.tonal.disabled.icon.color",,"Icon (optional)","Color","On surface","md.sys.color.on-surface"
"md.comp.button.tonal.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.button.tonal.hovered.container.state-layer-color","3. Hovered","Container","State layer color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.hovered.container.state-layer-opacity",,,"State layer opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.button.tonal.hovered.container.elevation",,,"Elevation","Level 1","md.sys.elevation.level1"
"md.comp.button.tonal.hovered.label-text.color",,"Label text","Color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.hovered.icon.color",,"Icon (optional)","Color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.focused.container.state-layer-color","4. Focused","Container","State layer color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.focused.container.state-layer-opacity",,,"State layer opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.button.tonal.focused.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.tonal.focused.label-text.color",,"Label text","Color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.focused.icon.color",,"Icon (optional)","Color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.pressed.container.state-layer-color","5. Pressed","Container","State layer color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.pressed.container.state-layer-opacity",,,"State layer opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.button.tonal.pressed.container.elevation",,,"Elevation","Level 0","md.sys.elevation.level0"
"md.comp.button.tonal.pressed.label-text.color",,"Label text","Color","On secondary container","md.sys.color.on-secondary-container"
"md.comp.button.tonal.pressed.icon.color",,"Icon (optional)","Color","On secondary container","md.sys.color.on-secondary-container"
