"Token","State","Element","Design attribute","Role","Value"
"md.comp.icon-button.filled.enabled.icon.size","1. Enabled","Icon","Size","-","24dp"
"md.comp.icon-button.filled.enabled-default.icon.color",,,"Color (default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.enabled-unselected.icon.color",,,"Color (unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.enabled-selected.icon.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.enabled.container.size",,"Container","Size","-","40dp"
"md.comp.icon-button.filled.enabled.container.shape",,,"Shape","Full","md.sys.shape.corner.full"
"md.comp.icon-button.filled.enabled-default.container.color",,,"Color (default)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.enabled-unselected.container.color",,,"Color (unselected)","Surface container highest","md.sys.color.surface-container-highest"
"md.comp.icon-button.filled.enabled-selected.container.color",,,"Color (selected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.disabled.icon.color","2. Disabled","Icon","Color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.filled.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.icon-button.filled.disabled.container.color",,"Container","Color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.filled.disabled.container.opacity",,,"Opacity","-","12%"
"md.comp.icon-button.filled.hovered.state-layer.opacity","3. Hovered","State layer","Opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.icon-button.filled.hovered-default.state-layer.color",,,"Color (default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.hovered-unselected.state-layer.color",,,"Color (unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.hovered-selected.state-layer.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.hovered-default.icon.color",,"Icon","Color (default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.hovered-unselected.icon.color",,,"Color (unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.hovered-selected.icon.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.focused.state-layer.opacity","4. Focused","State layer","Opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.icon-button.filled.focused-default.state-layer.color",,,"Color (default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.focused-unselected.state-layer.color",,,"Color (unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.focused-selected.state-layer.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.focused-default.icon.color",,"Icon","Color (default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.focused-unselected.icon.color",,,"Color (unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.focused-selected.icon.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.pressed.state-layer.opacity","5. Pressed","State layer","Opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.icon-button.filled.pressed-default.state-layer.color",,,"Color(default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.pressed-unselected.state-layer.color",,,"Color(unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.pressed-selected.state-layer.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.pressed-default.icon.color",,"Icon","Color (default)","On primary","md.sys.color.on-primary"
"md.comp.icon-button.filled.pressed-unselected.icon.color",,,"Color (unselected)","Primary","md.sys.color.primary"
"md.comp.icon-button.filled.pressed-selected.icon.color",,,"Color (selected)","On primary","md.sys.color.on-primary"
