"Token","State","Element","Design attribute","Role","Value"
"md.comp.icon-button.outlined.enabled.icon.size","1. Enabled","Icon","Size","-","24dp"
"md.comp.icon-button.outlined.enabled-unselected.icon.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.outlined.enabled-selected.icon.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
"md.comp.icon-button.outlined.enabled-unselected.container.outline-color",,"Container","Outline color (unselected)","Outline","md.sys.color.outline"
"md.comp.icon-button.outlined.enabled-unselected.container.outline-width",,,"Outline width (unselected)","-","1dp"
"md.comp.icon-button.outlined.enabled.container.shape",,,"Shape","Full","md.sys.shape.corner.full"
"md.comp.icon-button.outlined.enabled.container.size",,,"Size","-","40dp"
"md.comp.icon-button.outlined.enabled-selected.container.color",,,"Color (selected)","Inverse surface","md.sys.color.inverse-surface"
"md.comp.icon-button.outlined.disabled.icon.color","2. Disabled","Icon","Color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.outlined.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.icon-button.outlined.disabled.container.outline-color",,"Container","Outline color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.outlined.disabled.container.outline-opacity",,,"Outline opacity","-","12%"
"md.comp.icon-button.outlined.hovered.state-layer.opacity","3. Hovered","State layer","Opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.icon-button.outlined.hovered-unselected.state-layer.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.outlined.hovered-selected.state-layer.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
"md.comp.icon-button.outlined.hovered-unselected.icon.color",,"Icon","Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.outlined.hovered-selected.icon.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
"md.comp.icon-button.outlined.focused.state-layer.opacity","4. Focused","State layer","Opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.icon-button.outlined.focused-unselected.state-layer.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.outlined.focused-selected.state-layer.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
"md.comp.icon-button.outlined.focused-unselected.icon.color",,"Icon","Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.outlined.focused-selected.icon.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
"md.comp.icon-button.outlined.pressed.state-layer.opacity","5. Pressed","State layer","Opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.icon-button.outlined.pressed-unselected.state-layer.color",,,"Color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.icon-button.outlined.pressed-selected.state-layer.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
"md.comp.icon-button.outlined.pressed-unselected.icon.color",,"Icon","Color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.icon-button.outlined.pressed-selected.icon.color",,,"Color (selected)","On inverse surface","md.sys.color.on-inverse-surface"
