"Token","State","Element","Design attribute","Role","Value"
"md.comp.icon-button.standard.enabled.icon.size","1. Enabled","Icon","Size","-","24dp"
"md.comp.icon-button.standard.enabled-unselected.icon.color",,"Icon","Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.enabled-selected.icon.color",,,"Color (selected)","Primary","md.sys.color.primary"
"md.comp.icon-button.standard.enabled.state-layer.size",,"State layer","Size","-","40dp"
"md.comp.icon-button.standard.enabled.state-layer.shape",,"State layer","Shape","Full","md.sys.shape.corner.full"
"md.comp.icon-button.standard.disabled.icon.color","2. Disabled","Icon","Color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.standard.disabled.icon.opacity",,,"Opacity","-%","38%"
"md.comp.icon-button.standard.hovered-unselected.state-layer.color","3. Hovered","State layer (unselected)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.hovered-unselected.state-layer.color",,,,"State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.icon-button.standard.hovered-unselected.icon.color",,"Icon (unselected)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.hovered-selected.state-layer.color",,"State layer (selected)","Color","Primary","md.sys.color.primary"
"md.comp.icon-button.standard.hovered-selected.state-layer.color",,,,"State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.icon-button.standard.hovered-selected.icon.color",,"Icon (selected)","Color","Primary","md.sys.color.primary"
"md.comp.icon-button.standard.focused-unselected.state-layer.color","4. Focused","State layer (unselected)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.focused-unselected.state-layer.color",,,,"State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.icon-button.standard.focused-unselected.icon.color",,"Icon (unselected)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.focused-selected.state-layer.color",,"State layer (selected)","Color",,"md.sys.color.primary"
"md.comp.icon-button.standard.focused-selected.state-layer.color",,,,"State layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.icon-button.standard.focused-selected.icon.color",,"Icon (selected)","Color",,"md.sys.color.primary"
"md.comp.icon-button.standard.pressed-unselected.state-layer.color","5. Pressed","State layer (unselected)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.pressed-unselected.state-layer.color",,,,"State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.icon-button.standard.pressed-unselected.icon.color",,"Icon (unselected)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.standard.pressed-selected.state-layer.color",,"State layer (selected)","Color","Primary","md.sys.color.primary"
"md.comp.icon-button.standard.pressed-selected.state-layer.color",,,,"State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.icon-button.standard.pressed-selected.icon.color",,"Icon (selected)","Color","Primary","md.sys.color.primary"
