"Token","State","Element","Design attribute","Role","Value"
"md.comp.icon-button.tonal.enabled.icon.size","1. Enabled","Icon","Size","-","24dp"
"md.comp.icon-button.tonal.enabled-default.icon.color",,,"Color (default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.enabled-unselected.icon.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.enabled-selected.icon.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.enabled.container.size",,"Container","Size","-","40dp"
"md.comp.icon-button.tonal.enabled.container.shape",,,"Shape","Full","md.sys.shape.corner.full"
"md.comp.icon-button.tonal.enabled-default.container.color",,,"Color (default)","Secondary container","md.sys.color.secondary-container"
"md.comp.icon-button.tonal.enabled-unselected.container.color",,,"Color (unselected)","Surface container highest","md.sys.color.surface-container-highest"
"md.comp.icon-button.tonal.enabled-selected.container.color",,,"Color (selected)","Secondary container","md.sys.color.secondary-container"
"md.comp.icon-button.tonal.disabled.icon.color","2. Disabled","Icon","Color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.tonal.disabled.icon.opacity",,,"Opacity","-","38%"
"md.comp.icon-button.tonal.disabled.container.color",,"Container","Color","On surface","md.sys.color.on-surface"
"md.comp.icon-button.tonal.disabled.container.opacity",,,"Opacity","-","12%"
"md.comp.icon-button.tonal.hovered-default.state-layer.color","3. Hovered","State layer","Color (default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.hovered-unselected.state-layer.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.hovered-selected.state-layer.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.hovered.state-layer.opacity",,,"Opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.icon-button.tonal.hovered-default.icon.color",,"Icon","Color (default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.hovered-unselected.icon.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.hovered-selected.icon.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.focused.state-layer.opacity","4. Focused","State layer","Opacity","Focused state layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.icon-button.tonal.focused-default.state-layer.color",,,"Color (default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.focused-unselected.state-layer.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.focused-selected.state-layer.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.focused-default.icon.color",,"Icon","Color (default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.focused-unselected.icon.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.focused-selected.icon.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.pressed.state-layer.opacity","5. Pressed","State layer","Opacity","Pressed state layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.icon-button.tonal.pressed-default.state-layer.color",,,"Color(default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.pressed-unselected.state-layer.color",,,"Color(unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.pressed-selected.state-layer.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.pressed-default.icon.color",,"Icon","Color (default)","On secondary container","md.sys.color.on-secondary-container"
"md.comp.icon-button.tonal.pressed-unselected.icon.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.icon-button.tonal.pressed-selected.icon.color",,,"Color (selected)","On secondary container","md.sys.color.on-secondary-container"
