"Token","State","Element","Design attribute","Role","Value"
"md.comp.radio-button.enabled-selected.icon.color","Enabled","Icon","Color (selected)","Primary","md.sys.color.primary"
"md.comp.radio-button.enabled-unselected.icon.color",,,"Color (unselected)","On surface variant","md.sys.color.on-surface-variant"
"md.comp.radio-button.enabled.icon.size",,,"Size","-","20dp"
"md.comp.radio-button.enabled.icon.state-layer-size",,,"State layer size","-","40dp"
"md.comp.radio-button.hovered-selected.icon.state-layer-color","Hovered","Icon","State layer color (selected)","Primary","md.sys.color.primary"
"md.comp.radio-button.hovered-selected.icon.state-layer-opacity",,,"State layer opacity (selected)","State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.radio-button.hovered-selected.icon.color",,,"Color (selected)","Primary","md.sys.color.primary"
"md.comp.radio-button.hovered-unselected.icon.state-layer-color",,,"State layer color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.hovered-unselected.icon.state-layer-opacity",,,"State layer opacity (unselected)","State layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.radio-button.hovered-unselected.icon.color",,,"Color (unselected)",,"md.sys.color.on-surface"
"md.comp.radio-button.focused-selected.icon.state-layer-color","Focused","Icon","State layer color (selected)","Primary","md.sys.color.primary"
"md.comp.radio-button.focused-selected.icon.state-layer-opacity",,,"State layer opacity (selected)","State layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.radio-button.focused-selected.icon.color",,,"Color (selected)","Primary","md.sys.color.primary"
"md.comp.radio-button.focused-unselected.icon.state-layer-color",,,"State layer color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.focused-unselected.icon.state-layer-opacity",,,"State layer opacity (unselected)","State layer opacity","md.sys.state.focus.state-layer-opacity"
"md.comp.radio-button.focused-unselected.icon.color",,,"Color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.pressed-selected.icon.state-layer-color","Pressed (ripple)","Icon","State layer color (selected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.pressed-selected.icon.state-layer-opacity",,,"State layer opacity (selected)","State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.radio-button.pressed-selected.icon.color",,,"Color (selected)","Primary","md.sys.color.primary"
"md.comp.radio-button.pressed-unselected.icon.state-layer-color",,,"State layer color (unselected)","Primary","md.sys.color.primary"
"md.comp.radio-button.pressed-unselected.icon.state-layer-opacity",,,"State layer opacity (unselected)","State layer opacity","md.sys.state.pressed.state-layer-opacity"
"md.comp.radio-button.pressed-unselected.icon.color",,,"Color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.disabled-selected.icon.color","Disabled","Icon","Color (selected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.disabled-selected.icon.opacity",,,"Opacity (selected)","-","38%"
"md.comp.radio-button.disabled-unselected.icon.color",,,"Color (unselected)","On surface","md.sys.color.on-surface"
"md.comp.radio-button.disabled-unselected.icon.opacity",,,"Opacity (unselected)","-","38%"
