"Token","State","Element","Design attribute","Role","Value"
"md.comp.text-field.filled.error.active-indicator.active-indicator-color","Error","Active indicator","Active indicator color","Error","md.sys.color.error"
"md.comp.text-field.filled.error.label-text.color",,"Label text","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.error.supporting-text.color",,"Supporting text (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.error.trailing-icon.color",,"Trailing icon (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-focused.active-indicator.active-indicator-color","Error focused","Active indicator","Active indicator color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-focused.label-text.color",,"Label text","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-focused.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.error-focused.supporting-text.color",,"Supporting text (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-focused.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.error-focused.trailing-icon.color",,"Trailing icon (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-focused.caret.color",,"Caret","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-hovered.active-indicator.active-indicator-color","Error hovered","Active indicator","Active indicator color","On error container","md.sys.color.on-error-container"
"md.comp.text-field.filled.error-hovered.label-text.color",,"Label text","Color","On error container","md.sys.color.on-error-container"
"md.comp.text-field.filled.error-hovered.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.error-hovered.supporting-text.color",,"Supporting text (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.filled.error-hovered.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.error-hovered.trailing-icon.color",,"Trailing icon (optional)","Color","On error container","md.sys.color.on-error-container"
"md.comp.text-field.filled.error-hovered.state-layer.color",,"State layer","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.error-hovered.state-layer.opacity",,,"Opacity","Hovered state layer opacity","md.sys.state.hover.state-layer-opacity"
