"Token","State","Element","Design attribute","Role","Value"
"md.comp.text-field.filled.enabled.container.color","Enabled","Container","Color","Surface variant","md.sys.color.surface-variant"
"md.comp.text-field.filled.enabled.container.shape",,,"Shape","Extra small top","md.sys.shape.corner.extra-small.top"
"md.comp.text-field.filled.enabled.container.width",,,"Width","-","dynamic width"
"md.comp.text-field.filled.enabled.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled.leading-icon.size",,,"Size","-","20dp"
"md.comp.text-field.filled.enabled-empty.label-text.color",,"Label text (empty)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled-empty.label-text.font",,,"Font","Body large","md.sys.typescale.body-large.font"
"md.comp.text-field.filled.enabled-empty.label-text.line-height",,,"Line height","Body large","md.sys.typescale.body-large.line-height"
"md.comp.text-field.filled.enabled-empty.label-text.size",,,"Size","Body large","md.sys.typescale.body-large.size"
"md.comp.text-field.filled.enabled-empty.label-text.weight",,,"Weight","Body large","md.sys.typescale.body-large.weight"
"md.comp.text-field.filled.enabled-empty.label-text.tracking",,,"Tracking","Body large","md.sys.typescale.body-large.tracking"
"md.comp.text-field.filled.enabled-populated.label-text.line-height",,"Label text (populated)","Line height","Body small","md.sys.typescale.body-small.line-height"
"md.comp.text-field.filled.enabled-populated.label-text.size",,,"Size","Body small","md.sys.typescale.body-small.size"
"md.comp.text-field.filled.enabled.trailing-icon.color",,"Trailing icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled.trailing-icon.size",,,"Size","-","24dp"
"md.comp.text-field.filled.enabled.active-indicator.active-indicator-height",,"Active indicator","Active indicator height","-","1dp"
"md.comp.text-field.filled.enabled.active-indicator.active-indicator-width",,,"Active indicator width","-","dynamic width"
"md.comp.text-field.filled.enabled.active-indicator.active-indicator-color",,,"Active indicator color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled.caret.color",,"Caret","Color","Primary","md.sys.color.primary"
"md.comp.text-field.filled.enabled.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.enabled.input-text.font",,,"Font","Body large","md.sys.typescale.body-large.font"
"md.comp.text-field.filled.enabled.input-text.line-height",,,"Line height","Body large","md.sys.typescale.body-large.line-height"
"md.comp.text-field.filled.enabled.input-text.size",,,"Size","Body large","md.sys.typescale.body-large.size"
"md.comp.text-field.filled.enabled.input-text.weight",,,"Weight","Body large","md.sys.typescale.body-large.weight"
"md.comp.text-field.filled.enabled.input-text.tracking",,,"Tracking","Body large","md.sys.typescale.body-large.tracking"
"md.comp.text-field.filled.enabled.supporting-text.color",,"Supporting text (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled.supporting-text.font",,,"Font","Body small","md.sys.typescale.body-small.font"
"md.comp.text-field.filled.enabled.supporting-text.line-height",,,"Line height","Body small","md.sys.typescale.body-small.line-height"
"md.comp.text-field.filled.enabled.supporting-text.size",,,"Size","Body small","md.sys.typescale.body-small.size"
"md.comp.text-field.filled.enabled.supporting-text.weight",,,"Weight","Body small","md.sys.typescale.body-small.weight"
"md.comp.text-field.filled.enabled.supporting-text.tracking",,,"Tracking","Body small","md.sys.typescale.body-small.tracking"
"md.comp.text-field.filled.enabled.placeholder-input-text.color",,"Placeholder Input text","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled.prefix-input-label.color",,"Prefix input label","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.enabled.suffix-input-label.color",,"Suffix input label","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.focused.active-indicator.active-indicator-height","Focused","Active indicator","Active indicator height","-","2dp"
"md.comp.text-field.filled.focused.active-indicator.active-indicator-color",,,"Active indicator color","Primary","md.sys.color.primary"
"md.comp.text-field.filled.focused.label-text.color",,"Label text","Color","Primary","md.sys.color.primary"
"md.comp.text-field.filled.focused.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.focused.supporting-text.color",,"Supporting text (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.focused.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.focused.trailing-icon.color",,"Trailing icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.hovered.active-indicator.active-indicator-height","Hovered","Active indicator","Active indicator height","-","1dp"
"md.comp.text-field.filled.hovered.active-indicator.active-indicator-color",,,"Active indicator color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.hovered.label-text.color",,"Label text","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.hovered.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.hovered.supporting-text.color",,"Supporting text (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.hovered.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.hovered.trailing-icon.color",,"Trailing icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.filled.hovered.state-layer.color",,"State layer","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.hovered.state-layer.opacity",,,"Opacity","Over state layer opacity","md.sys.state.hover.state-layer-opacity"
"md.comp.text-field.filled.disabled.state-layer.opacity","Disabled",,,,
"md.comp.text-field.filled.disabled.container.color",,"Container","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.filled.disabled.container.opacity",,,"Opacity","-","4%"
"md.comp.text-field.filled.disabled.active-indicator.height",,"Active indicator","Height","-","1dp"
