"Token","State","Element","Design attribute","Role","Value"
"md.comp.text-field.outlined.error.outline.outline-color","Error","Outline","Outline color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error.label-text.color",,"Label text","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.error.supporting-text.color",,"Supporting text (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.error.trailing-icon.color",,"Trailing icon (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-focused.outline.outline-color","Error focused","Outline","Outline color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-focused.label-text.color",,"Label text","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-focused.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.error-focused.supporting-text.color",,"Supporting text (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-focused.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.error-focused.trailing-icon.color",,"Trailing icon (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-focused.caret.color",,"Caret","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-hovered.outline.outline-color","Error hovered","Outline","Outline color","On error container","md.sys.color.on-error-container"
"md.comp.text-field.outlined.error-hovered.label-text.color",,"Label text","Color","On error container","md.sys.color.on-error-container"
"md.comp.text-field.outlined.error-hovered.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
"md.comp.text-field.outlined.error-hovered.supporting-text.color",,"Supporting text (optional)","Color","Error","md.sys.color.error"
"md.comp.text-field.outlined.error-hovered.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.error-hovered.trailing-icon.color",,"Trailing icon (optional)","Color","On error container","md.sys.color.on-error-container"
