"Token","State","Element","Design attribute","Role","Value"
"md.comp.text-field.outlined.enabled.container.shape","Enabled","Container","Shape","Extra small","md.sys.shape.corner.extra-small"
"md.comp.text-field.outlined.enabled.container.outline-width",,,"Outline width","-","1dp"
"md.comp.text-field.outlined.enabled.container.outline-color",,,"Outline color","Outline","md.sys.color.outline"
"md.comp.text-field.outlined.enabled.container.width",,,"Width","-","dynamic width"
"md.comp.text-field.outlined.enabled-unpopulated.label-text.color",,"Label text (unpopulated)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.enabled-unpopulated.label-text.font",,,"Font","Body large","md.sys.typescale.body-large.font"
"md.comp.text-field.outlined.enabled-unpopulated.label-text.line-height",,,"Line height","Body large","md.sys.typescale.body-large.line-height"
"md.comp.text-field.outlined.enabled-unpopulated.label-text.size",,,"Size","Body large","md.sys.typescale.body-large.size"
"md.comp.text-field.outlined.enabled-unpopulated.label-text.weight",,,"Weight","Body large","md.sys.typescale.body-large.weight"
"md.comp.text-field.outlined.enabled-unpopulated.label-text.tracking",,,"Tracking","Body large","md.sys.typescale.body-large.tracking"
"md.comp.text-field.outlined.enabled.leading-icon.color",,"Leading icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.enabled.leading-icon.size",,,"Size","-","24dp"
"md.comp.text-field.outlined.enabled-populated.label-text.line-height",,"Label text (populated)","Line height","Body small","md.sys.typescale.body-small.line-height"
"md.comp.text-field.outlined.enabled-populated.label-text.size",,,"Size","Body small","md.sys.typescale.body-small.size"
"md.comp.text-field.outlined.enabled.trailing-icon.color",,"Trailing icon (optional)","Color","On surface variant","md.sys.color.on-surface-variant"
"md.comp.text-field.outlined.enabled.trailing-icon.size",,,"Size","-","24dp"
"md.comp.text-field.outlined.enabled.caret.color",,"Caret","Color","Primary","md.sys.color.primary"
"md.comp.text-field.outlined.enabled.input-text.color",,"Input text","Color","On surface","md.sys.color.on-surface"
